pdbid,url,http_code,filepath,filesize,error
1euw,https://pdb-redo.eu/dssp/db/1euw/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1euw.dssp,496755,
1ewf,https://pdb-redo.eu/dssp/db/1ewf/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ewf.dssp,579207,
1ezg,https://pdb-redo.eu/dssp/db/1ezg/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ezg.dssp,190854,
1ezj,https://pdb-redo.eu/dssp/db/1ezj/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ezj.dssp,189729,
1f08,https://pdb-redo.eu/dssp/db/1f08/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1f08.dssp,364963,
1f0k,https://pdb-redo.eu/dssp/db/1f0k/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1f0k.dssp,760650,
1f1m,https://pdb-redo.eu/dssp/db/1f1m/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1f1m.dssp,757254,
1f3u,https://pdb-redo.eu/dssp/db/1f3u/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1f3u.dssp,1212766,
1f46,https://pdb-redo.eu/dssp/db/1f46/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1f46.dssp,370102,
1f5q,https://pdb-redo.eu/dssp/db/1f5q/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1f5q.dssp,1156816,
1f7u,https://pdb-redo.eu/dssp/db/1f7u/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1f7u.dssp,944458,
1fd3,https://pdb-redo.eu/dssp/db/1fd3/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fd3.dssp,350183,
1fiu,https://pdb-redo.eu/dssp/db/1fiu/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fiu.dssp,1526783,
1fj2,https://pdb-redo.eu/dssp/db/1fj2/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fj2.dssp,576527,
1fjr,https://pdb-redo.eu/dssp/db/1fjr/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fjr.dssp,499542,
1flt,https://pdb-redo.eu/dssp/db/1flt/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1flt.dssp,496709,
1fn9,https://pdb-redo.eu/dssp/db/1fn9/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fn9.dssp,882101,
1fno,https://pdb-redo.eu/dssp/db/1fno/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fno.dssp,492936,
1fs1,https://pdb-redo.eu/dssp/db/1fs1/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fs1.dssp,433494,
1fsg,https://pdb-redo.eu/dssp/db/1fsg/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fsg.dssp,1105863,
1ftr,https://pdb-redo.eu/dssp/db/1ftr/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1ftr.dssp,1262463,
1fx2,https://pdb-redo.eu/dssp/db/1fx2/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fx2.dssp,336678,
1fxk,https://pdb-redo.eu/dssp/db/1fxk/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1fxk.dssp,442361,
1g2r,https://pdb-redo.eu/dssp/db/1g2r/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1g2r.dssp,258061,
1g3k,https://pdb-redo.eu/dssp/db/1g3k/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1g3k.dssp,589566,
1g61,https://pdb-redo.eu/dssp/db/1g61/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1g61.dssp,623833,
1g63,https://pdb-redo.eu/dssp/db/1g63/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1g63.dssp,2212708,
1g6x,https://pdb-redo.eu/dssp/db/1g6x/mmcif,200,/home/ubuntu/p2nd/data/downloads/pc20_mmcif/1g6x.dssp,214745,
