pdbid,url,http_code,filepath,filesize,error
1eb6,https://pdb-redo.eu/dssp/db/1eb6/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1eb6.dssp,27869,
1ef1,https://pdb-redo.eu/dssp/db/1ef1/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ef1.dssp,109247,
1efd,https://pdb-redo.eu/dssp/db/1efd/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1efd.dssp,39514,
1egw,https://pdb-redo.eu/dssp/db/1egw/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1egw.dssp,43213,
1ei5,https://pdb-redo.eu/dssp/db/1ei5/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ei5.dssp,74586,
1eix,https://pdb-redo.eu/dssp/db/1eix/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1eix.dssp,130756,
1ejf,https://pdb-redo.eu/dssp/db/1ejf/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ejf.dssp,33897,
1ek9,https://pdb-redo.eu/dssp/db/1ek9/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ek9.dssp,179802,
1ekj,https://pdb-redo.eu/dssp/db/1ekj/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ekj.dssp,238575,
1el6,https://pdb-redo.eu/dssp/db/1el6/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1el6.dssp,89382,
1eok,https://pdb-redo.eu/dssp/db/1eok/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1eok.dssp,42254,
1esj,https://pdb-redo.eu/dssp/db/1esj/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1esj.dssp,120618,
1euw,https://pdb-redo.eu/dssp/db/1euw/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1euw.dssp,22252,
1ewf,https://pdb-redo.eu/dssp/db/1ewf/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ewf.dssp,66092,
1ezg,https://pdb-redo.eu/dssp/db/1ezg/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ezg.dssp,26225,
1ezj,https://pdb-redo.eu/dssp/db/1ezj/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ezj.dssp,19238,
1f08,https://pdb-redo.eu/dssp/db/1f08/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1f08.dssp,43898,
1f0k,https://pdb-redo.eu/dssp/db/1f0k/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1f0k.dssp,99931,
1f1m,https://pdb-redo.eu/dssp/db/1f1m/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1f1m.dssp,92807,
1f3u,https://pdb-redo.eu/dssp/db/1f3u/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1f3u.dssp,149799,
1f46,https://pdb-redo.eu/dssp/db/1f46/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1f46.dssp,41980,
1f5q,https://pdb-redo.eu/dssp/db/1f5q/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1f5q.dssp,152402,
1f7u,https://pdb-redo.eu/dssp/db/1f7u/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1f7u.dssp,86642,
1fd3,https://pdb-redo.eu/dssp/db/1fd3/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fd3.dssp,26225,
1fiu,https://pdb-redo.eu/dssp/db/1fiu/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fiu.dssp,160759,
1fj2,https://pdb-redo.eu/dssp/db/1fj2/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fj2.dssp,66503,
1fjr,https://pdb-redo.eu/dssp/db/1fjr/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fjr.dssp,55269,
1flt,https://pdb-redo.eu/dssp/db/1flt/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1flt.dssp,56365,
1fn9,https://pdb-redo.eu/dssp/db/1fn9/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fn9.dssp,103767,
1fno,https://pdb-redo.eu/dssp/db/1fno/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fno.dssp,59516,
1fs1,https://pdb-redo.eu/dssp/db/1fs1/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fs1.dssp,47597,
1fsg,https://pdb-redo.eu/dssp/db/1fsg/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fsg.dssp,67599,
1ftr,https://pdb-redo.eu/dssp/db/1ftr/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1ftr.dssp,166239,
1fx2,https://pdb-redo.eu/dssp/db/1fx2/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fx2.dssp,35815,
1fxk,https://pdb-redo.eu/dssp/db/1fxk/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1fxk.dssp,51707,
1g2r,https://pdb-redo.eu/dssp/db/1g2r/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1g2r.dssp,16498,
1g3k,https://pdb-redo.eu/dssp/db/1g3k/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1g3k.dssp,74997,
1g61,https://pdb-redo.eu/dssp/db/1g61/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1g61.dssp,65407,
1g63,https://pdb-redo.eu/dssp/db/1g63/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1g63.dssp,278168,
1g6x,https://pdb-redo.eu/dssp/db/1g6x/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1g6x.dssp,11566,
1g73,https://pdb-redo.eu/dssp/db/1g73/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1g73.dssp,73216,
1g8e,https://pdb-redo.eu/dssp/db/1g8e/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1g8e.dssp,28143,
1g8l,https://pdb-redo.eu/dssp/db/1g8l/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1g8l.dssp,114179,
1g8m,https://pdb-redo.eu/dssp/db/1g8m/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1g8m.dssp,165417,
1gak,https://pdb-redo.eu/dssp/db/1gak/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gak.dssp,22389,
1gci,https://pdb-redo.eu/dssp/db/1gci/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gci.dssp,40473,
1gk9,https://pdb-redo.eu/dssp/db/1gk9/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gk9.dssp,108562,
1gkm,https://pdb-redo.eu/dssp/db/1gkm/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gkm.dssp,73079,
1gny,https://pdb-redo.eu/dssp/db/1gny/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gny.dssp,24581,
1go3,https://pdb-redo.eu/dssp/db/1go3/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1go3.dssp,81710,
1got,https://pdb-redo.eu/dssp/db/1got/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1got.dssp,104589,
1gp0,https://pdb-redo.eu/dssp/db/1gp0/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gp0.dssp,21841,
1gqe,https://pdb-redo.eu/dssp/db/1gqe/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gqe.dssp,53214,
1gqi,https://pdb-redo.eu/dssp/db/1gqi/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gqi.dssp,197749,
1gsa,https://pdb-redo.eu/dssp/db/1gsa/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gsa.dssp,46638,
1gu7,https://pdb-redo.eu/dssp/db/1gu7/legacy,200,/home/ubuntu/p2nd/data/downloads/pc20_legacy/1gu7.dssp,103493,
